Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_07bt1.wav,252.0345613,564.9432668,1564.018168,71.88133929
a_07bt2.wav,241.6141214,713.6484248,1865.262306,64.63972669
a_07bt3.wav,241.4374811,611.9089447,1537.157182,69.18504279
a_07bt4.wav,238.7863162,705.1232484,1515.59386,77.93461841
a_08bt1.wav,276.9916436,602.0133102,1467.314532,73.79341896
a_08bt2.wav,261.9756194,643.2756918,1747.994684,70.05377545
a_08bt3.wav,264.2253065,490.4916688,1509.557792,73.33910392
a_08bt4.wav,259.2436888,586.4922683,1523.14975,80.43819676
a_09bt1.wav,281.0363714,533.3732789,1890.97681,74.73258604
a_09bt2.wav,268.8325981,508.6630235,1890.701604,69.67269419
a_09bt3.wav,277.4504676,518.1605484,1583.575187,70.86748952
a_09bt4.wav,275.6900068,531.6551922,1877.52148,77.95603447
a_101bt1.wav,327.2248149,698.8081641,1444.315059,76.62441308
a_101bt2.wav,193.5103671,582.3556737,1562.184474,64.84224385
a_101bt3.wav,330.305798,645.1698761,1407.228101,77.17372273
a_101bt4.wav,320.8219994,696.1468393,1672.42762,80.34260415
a_10bt1.wav,254.351466,649.1174684,1377.398365,75.16331711
a_10bt2.wav,248.3954024,608.4018846,1597.80067,68.22017691
a_10bt3.wav,238.9582798,597.3839167,1295.881033,73.10248302
a_10bt4.wav,241.4837856,666.2789731,1349.962615,79.61564129
a_111bt1.wav,309.8642094,550.3637691,1511.460885,70.9392286
a_111bt2.wav,288.4585373,522.1476282,1792.874517,70.9142292
a_111bt3.wav,300.9429748,479.2401517,1521.33872,73.63782842
a_111bt4.wav,317.0678885,566.1483372,1638.343834,72.36979013
a_112bt1.wav,306.4215953,645.4205819,1679.334625,72.11705903
a_112bt2.wav,304.2999471,581.0414116,1800.480219,69.23906277
a_112bt3.wav,308.930453,548.2538732,1529.553762,74.31355345
a_112bt4.wav,292.0446927,539.9580589,1644.948871,77.30602293
a_113bt1.wav,283.0936071,553.1258502,1700.569448,74.23522852
a_113bt2.wav,280.7478805,584.6006097,1802.964369,68.01318846
a_113bt3.wav,275.5571487,539.675328,1639.889348,75.07049575
a_113bt4.wav,278.8169108,560.6518104,1809.697743,77.91482713
a_116bt1.wav,272.949789,560.5672399,1723.233408,79.00831812
a_116bt2.wav,263.4753487,548.4856972,1753.246457,73.93580666
a_116bt3.wav,262.985188,509.760184,1719.472192,76.46017798
