Filename,Mean Pitch (Hz),Mean F1 (Hz),Mean F2 (Hz),Mean Intensity (dB)
a_102ct1.wav,371.1697316,743.452319,1479.335735,76.44445518
a_102ct2.wav,353.8717898,704.0619359,1401.231343,63.66536688
a_102ct3.wav,372.1492181,707.075128,1236.099634,79.97331557
a_102ct4.wav,281.3255677,828.2437555,1408.909995,78.04082657
a_108ct1.wav,372.92116,644.5361675,1562.455109,77.67735687
a_108ct2.wav,235.1696004,576.9006593,1475.578549,71.56790213
a_108ct3.wav,362.5130848,671.1409543,1458.152503,77.39321461
a_108ct4.wav,339.8734366,669.6017954,1593.26739,82.42784597
a_161ct1.wav,366.4876441,731.5490931,1514.909522,81.39180851
a_161ct2.wav,361.5485879,752.117771,1488.825613,78.34918377
a_161ct3.wav,353.4617097,751.1564139,1410.534305,77.4541879
a_161ct4.wav,387.9757651,831.1474461,1376.823596,84.63416623
a_164ct1.wav,361.8040705,512.3917655,1872.269134,77.6273833
a_164ct2.wav,355.9200356,382.5606953,2020.223841,75.6682857
a_164ct3.wav,343.1057859,514.0725473,1689.683805,74.42880885
a_164ct4.wav,336.800299,598.9650929,1985.373545,75.97556012
a_172ct1.wav,372.6892422,689.3559895,1450.584049,82.10739046
a_172ct2.wav,385.9136719,636.6692772,1480.429824,77.50583411
a_172ct3.wav,356.1024685,717.6502686,1638.28799,81.24169639
a_172ct4.wav,340.9015882,712.6598638,1587.697743,84.06543105
a_174ct1.wav,375.641989,758.137635,1380.712727,80.52984087
a_174ct2.wav,375.060444,758.3672445,1272.594562,80.1744507
a_174ct3.wav,362.0375691,757.9385371,1425.927892,79.71801711
a_174ct4.wav,354.6946114,875.0051773,1351.72571,79.40833605
a_179ct1.wav,373.8126342,740.9283629,1377.963986,76.74921087
a_179ct2.wav,365.8243237,731.7429643,1304.812006,74.22927482
a_179ct3.wav,365.072935,734.3345928,1179.181212,78.08627568
a_179ct4.wav,309.1402977,736.6778355,1161.654047,79.75582173
a_186ct1.wav,368.4392324,739.0966251,1461.506924,78.32127657
a_186ct2.wav,382.4946814,745.3233677,1433.772322,76.22751599
a_186ct3.wav,349.2764258,746.3784149,1392.473694,76.1405781
a_186ct4.wav,300.3504904,826.8487641,1410.364083,72.56940389
a_189ct1.wav,354.2089581,705.6585538,1585.619308,78.40170945
a_189ct2.wav,389.725583,620.8997055,1482.833465,78.54099355
a_189ct3.wav,360.8623598,706.5250559,1455.284163,79.97535738
